Commodity Name,City Name,Type,Package,Variety,Sub Variety,Grade,Date,Low Price,High Price,Mostly Low,Mostly High,Origin,Origin District,Item Size,Color,Environment,Unit of Sale,Quality,Condition,Appearance,Storage,Crop,Repack,Trans Mode,Offerings,Market Tone,Price Comment,Comments
PUMPKINS,ST. LOUIS,,24 inch bins,HOWDEN TYPE,,,09/26/2016,105.0,105.0,,,ILLINOIS,,xlge,ORANGE,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,24 inch bins,HOWDEN TYPE,,,09/26/2016,105.0,105.0,,,ILLINOIS,,lge,ORANGE,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,24 inch bins,HOWDEN TYPE,,,09/27/2016,105.0,105.0,,,ILLINOIS,,xlge,ORANGE,,,,,,,,N,,,STEADY.,,
PUMPKINS,ST. LOUIS,,24 inch bins,HOWDEN TYPE,,,09/27/2016,105.0,105.0,,,ILLINOIS,,lge,ORANGE,,,,,,,,N,,,STEADY.,,
PUMPKINS,ST. LOUIS,,24 inch bins,HOWDEN TYPE,,,09/28/2016,105.0,105.0,,,ILLINOIS,,xlge,ORANGE,,,,,,,,N,,,ABOUT STEADY.,,
PUMPKINS,ST. LOUIS,,24 inch bins,HOWDEN TYPE,,,09/28/2016,105.0,105.0,,,ILLINOIS,,lge,ORANGE,,,,,,,,N,,,ABOUT STEADY.,,
PUMPKINS,ST. LOUIS,,24 inch bins,HOWDEN TYPE,,,09/29/2016,105.0,105.0,,,ILLINOIS,,xlge,ORANGE,,,,,,,,N,,,"MINIATURE LOWER, OTHERS STEADY.",,
PUMPKINS,ST. LOUIS,,24 inch bins,HOWDEN TYPE,,,09/29/2016,105.0,105.0,,,ILLINOIS,,lge,ORANGE,,,,,,,,N,,,"MINIATURE LOWER, OTHERS STEADY.",,
PUMPKINS,ST. LOUIS,,24 inch bins,HOWDEN TYPE,,,09/30/2016,105.0,105.0,,,ILLINOIS,,xlge,ORANGE,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,24 inch bins,HOWDEN TYPE,,,09/30/2016,105.0,105.0,,,ILLINOIS,,lge,ORANGE,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/26/2016,125.0,135.0,,,ILLINOIS,,xlge,ORANGE,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/26/2016,135.0,135.0,,,ILLINOIS,,lge,ORANGE,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/26/2016,125.0,135.0,,,ILLINOIS,,med,ORANGE,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/26/2016,125.0,125.0,,,MICHIGAN,,xlge,ORANGE,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/26/2016,125.0,125.0,,,MICHIGAN,,lge,ORANGE,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/26/2016,125.0,125.0,,,MICHIGAN,,med,ORANGE,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/27/2016,125.0,135.0,,,ILLINOIS,,xlge,ORANGE,,,,,,,,N,,,STEADY.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/27/2016,135.0,135.0,,,ILLINOIS,,lge,ORANGE,,,,,,,,N,,,STEADY.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/27/2016,125.0,135.0,,,ILLINOIS,,med,ORANGE,,,,,,,,N,,,STEADY.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/27/2016,125.0,125.0,,,MICHIGAN,,xlge,ORANGE,,,,,,,,N,,,STEADY.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/27/2016,125.0,125.0,,,MICHIGAN,,lge,ORANGE,,,,,,,,N,,,STEADY.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/27/2016,125.0,125.0,,,MICHIGAN,,med,ORANGE,,,,,,,,N,,,STEADY.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/28/2016,125.0,135.0,,,ILLINOIS,,xlge,ORANGE,,,,,,,,N,,,ABOUT STEADY.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/28/2016,135.0,135.0,,,ILLINOIS,,lge,ORANGE,,,,,,,,N,,,ABOUT STEADY.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/28/2016,125.0,135.0,,,ILLINOIS,,med,ORANGE,,,,,,,,N,,,ABOUT STEADY.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/28/2016,125.0,125.0,,,MICHIGAN,,xlge,ORANGE,,,,,,,,N,,,ABOUT STEADY.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/28/2016,125.0,125.0,,,MICHIGAN,,lge,ORANGE,,,,,,,,N,,,ABOUT STEADY.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/28/2016,125.0,125.0,,,MICHIGAN,,med,ORANGE,,,,,,,,N,,,ABOUT STEADY.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/29/2016,125.0,135.0,,,ILLINOIS,,xlge,ORANGE,,,,,,,,N,,,"MINIATURE LOWER, OTHERS STEADY.",,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/29/2016,135.0,135.0,,,ILLINOIS,,lge,ORANGE,,,,,,,,N,,,"MINIATURE LOWER, OTHERS STEADY.",,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/29/2016,125.0,135.0,,,ILLINOIS,,med,ORANGE,,,,,,,,N,,,"MINIATURE LOWER, OTHERS STEADY.",,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/29/2016,125.0,125.0,,,MICHIGAN,,xlge,ORANGE,,,,,,,,N,,,"MINIATURE LOWER, OTHERS STEADY.",,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/29/2016,125.0,125.0,,,MICHIGAN,,lge,ORANGE,,,,,,,,N,,,"MINIATURE LOWER, OTHERS STEADY.",,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/29/2016,125.0,125.0,,,MICHIGAN,,med,ORANGE,,,,,,,,N,,,"MINIATURE LOWER, OTHERS STEADY.",,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/30/2016,115.0,125.0,,,ILLINOIS,,xlge,ORANGE,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/30/2016,115.0,115.0,,,ILLINOIS,,lge,ORANGE,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/30/2016,115.0,125.0,,,ILLINOIS,,med,ORANGE,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/30/2016,115.0,115.0,,,MICHIGAN,,xlge,ORANGE,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/30/2016,115.0,115.0,,,MICHIGAN,,lge,ORANGE,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,36 inch bins,HOWDEN TYPE,,,09/30/2016,115.0,115.0,,,MICHIGAN,,med,ORANGE,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,24 inch bins,HOWDEN WHITE TYPE,,,09/26/2016,150.0,150.0,,,ILLINOIS,,xlge,,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,24 inch bins,HOWDEN WHITE TYPE,,,09/27/2016,150.0,150.0,,,ILLINOIS,,xlge,,,,,,,,,N,,,STEADY.,,
PUMPKINS,ST. LOUIS,,24 inch bins,HOWDEN WHITE TYPE,,,09/28/2016,150.0,150.0,,,ILLINOIS,,xlge,,,,,,,,,N,,,ABOUT STEADY.,,
PUMPKINS,ST. LOUIS,,24 inch bins,HOWDEN WHITE TYPE,,,09/29/2016,150.0,150.0,,,ILLINOIS,,xlge,,,,,,,,,N,,,"MINIATURE LOWER, OTHERS STEADY.",,
PUMPKINS,ST. LOUIS,,24 inch bins,HOWDEN WHITE TYPE,,,09/30/2016,150.0,150.0,,,ILLINOIS,,xlge,,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,24 inch bins,PIE TYPE,,,09/26/2016,175.0,175.0,,,ILLINOIS,,,ORANGE,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,24 inch bins,PIE TYPE,,,09/27/2016,175.0,175.0,,,ILLINOIS,,,ORANGE,,,,,,,,N,,,STEADY.,,
PUMPKINS,ST. LOUIS,,24 inch bins,PIE TYPE,,,09/28/2016,175.0,175.0,,,ILLINOIS,,,ORANGE,,,,,,,,N,,,ABOUT STEADY.,,
PUMPKINS,ST. LOUIS,,24 inch bins,PIE TYPE,,,09/29/2016,175.0,175.0,,,ILLINOIS,,,ORANGE,,,,,,,,N,,,"MINIATURE LOWER, OTHERS STEADY.",,
PUMPKINS,ST. LOUIS,,24 inch bins,PIE TYPE,,,09/30/2016,175.0,175.0,,,ILLINOIS,,,ORANGE,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,36 inch bins,PIE TYPE,,,09/26/2016,275.0,275.0,,,ILLINOIS,,,ORANGE,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,36 inch bins,PIE TYPE,,,09/27/2016,275.0,275.0,,,ILLINOIS,,,ORANGE,,,,,,,,N,,,STEADY.,,
PUMPKINS,ST. LOUIS,,36 inch bins,PIE TYPE,,,09/28/2016,275.0,275.0,,,ILLINOIS,,,ORANGE,,,,,,,,N,,,ABOUT STEADY.,,
PUMPKINS,ST. LOUIS,,36 inch bins,PIE TYPE,,,09/29/2016,275.0,275.0,,,ILLINOIS,,,ORANGE,,,,,,,,N,,,"MINIATURE LOWER, OTHERS STEADY.",,
PUMPKINS,ST. LOUIS,,36 inch bins,PIE TYPE,,,09/30/2016,150.0,150.0,,,ILLINOIS,,,ORANGE,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,24 inch bins,MIXED HEIRLOOM VARIETIES,,,09/26/2016,100.0,100.0,,,ILLINOIS,,,,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,24 inch bins,MIXED HEIRLOOM VARIETIES,,,09/26/2016,135.0,135.0,,,MISSOURI,,,,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,24 inch bins,MIXED HEIRLOOM VARIETIES,,,09/27/2016,100.0,100.0,,,ILLINOIS,,,,,,,,,,,N,,,STEADY.,,
PUMPKINS,ST. LOUIS,,24 inch bins,MIXED HEIRLOOM VARIETIES,,,09/27/2016,135.0,135.0,,,MISSOURI,,,,,,,,,,,N,,,STEADY.,,
PUMPKINS,ST. LOUIS,,24 inch bins,MIXED HEIRLOOM VARIETIES,,,09/28/2016,100.0,100.0,,,ILLINOIS,,,,,,,,,,,N,,,ABOUT STEADY.,,
PUMPKINS,ST. LOUIS,,24 inch bins,MIXED HEIRLOOM VARIETIES,,,09/28/2016,135.0,135.0,,,MISSOURI,,,,,,,,,,,N,,,ABOUT STEADY.,,
PUMPKINS,ST. LOUIS,,24 inch bins,MIXED HEIRLOOM VARIETIES,,,09/29/2016,100.0,100.0,,,ILLINOIS,,,,,,,,,,,N,,,"MINIATURE LOWER, OTHERS STEADY.",,
PUMPKINS,ST. LOUIS,,24 inch bins,MIXED HEIRLOOM VARIETIES,,,09/29/2016,135.0,135.0,,,MISSOURI,,,,,,,,,,,N,,,"MINIATURE LOWER, OTHERS STEADY.",,
PUMPKINS,ST. LOUIS,,24 inch bins,MIXED HEIRLOOM VARIETIES,,,09/30/2016,100.0,100.0,,,ILLINOIS,,,,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,24 inch bins,MIXED HEIRLOOM VARIETIES,,,09/30/2016,135.0,135.0,,,MISSOURI,,,,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,1/2 bushel cartons,MINIATURE,FLAT TYPE,,09/26/2016,15.0,15.0,,,CANADA,ONTARIO,,ORANGE,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,1/2 bushel cartons,MINIATURE,FLAT TYPE,,09/26/2016,15.0,15.0,,,CANADA,ONTARIO,,WHITE,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,1/2 bushel cartons,MINIATURE,FLAT TYPE,,09/26/2016,15.75,15.75,,,ILLINOIS,,,WHITE,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,1/2 bushel cartons,MINIATURE,FLAT TYPE,,09/26/2016,12.5,12.5,,,ILLINOIS,,,ORANGE,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,1/2 bushel cartons,MINIATURE,FLAT TYPE,,09/27/2016,15.0,15.0,,,CANADA,ONTARIO,,ORANGE,,,,,,,,N,,,STEADY.,,
PUMPKINS,ST. LOUIS,,1/2 bushel cartons,MINIATURE,FLAT TYPE,,09/27/2016,15.0,15.0,,,CANADA,ONTARIO,,WHITE,,,,,,,,N,,,STEADY.,,
PUMPKINS,ST. LOUIS,,1/2 bushel cartons,MINIATURE,FLAT TYPE,,09/27/2016,15.0,15.75,,,ILLINOIS,,,WHITE,,,,,,,,N,,,STEADY.,,
PUMPKINS,ST. LOUIS,,1/2 bushel cartons,MINIATURE,FLAT TYPE,,09/27/2016,12.5,15.0,,,ILLINOIS,,,ORANGE,,,,,,,,N,,,STEADY.,,
PUMPKINS,ST. LOUIS,,1/2 bushel cartons,MINIATURE,FLAT TYPE,,09/28/2016,15.0,15.0,,,CANADA,ONTARIO,,WHITE,,,,,,,,N,,,ABOUT STEADY.,,
PUMPKINS,ST. LOUIS,,1/2 bushel cartons,MINIATURE,FLAT TYPE,,09/28/2016,15.0,15.0,,,CANADA,ONTARIO,,ORANGE,,,,,,,,N,,,ABOUT STEADY.,,
PUMPKINS,ST. LOUIS,,1/2 bushel cartons,MINIATURE,FLAT TYPE,,09/28/2016,15.0,15.75,,,ILLINOIS,,,WHITE,,,,,,,,N,,,ABOUT STEADY.,,
PUMPKINS,ST. LOUIS,,1/2 bushel cartons,MINIATURE,FLAT TYPE,,09/28/2016,12.5,15.0,,,ILLINOIS,,,ORANGE,,,,,,,,N,,,ABOUT STEADY.,,
PUMPKINS,ST. LOUIS,,1/2 bushel cartons,MINIATURE,FLAT TYPE,,09/29/2016,15.0,15.0,,,CANADA,ONTARIO,,WHITE,,,,,,,,N,,,"MINIATURE LOWER, OTHERS STEADY.",,
PUMPKINS,ST. LOUIS,,1/2 bushel cartons,MINIATURE,FLAT TYPE,,09/29/2016,15.0,15.0,,,CANADA,ONTARIO,,ORANGE,,,,,,,,N,,,"MINIATURE LOWER, OTHERS STEADY.",,
PUMPKINS,ST. LOUIS,,1/2 bushel cartons,MINIATURE,FLAT TYPE,,09/29/2016,13.75,15.0,,,ILLINOIS,,,WHITE,,,,,,,,N,,,"MINIATURE LOWER, OTHERS STEADY.",,
PUMPKINS,ST. LOUIS,,1/2 bushel cartons,MINIATURE,FLAT TYPE,,09/29/2016,10.75,15.0,,,ILLINOIS,,,ORANGE,,,,,,,,N,,,"MINIATURE LOWER, OTHERS STEADY.",,
PUMPKINS,ST. LOUIS,,1/2 bushel cartons,MINIATURE,FLAT TYPE,,09/29/2016,12.0,12.0,,,MICHIGAN,,,ORANGE,,,,,,,,N,,,"MINIATURE LOWER, OTHERS STEADY.",,
PUMPKINS,ST. LOUIS,,1/2 bushel cartons,MINIATURE,FLAT TYPE,,09/29/2016,12.0,12.0,,,MICHIGAN,,,WHITE,,,,,,,,N,,,"MINIATURE LOWER, OTHERS STEADY.",,
PUMPKINS,ST. LOUIS,,1/2 bushel cartons,MINIATURE,FLAT TYPE,,09/30/2016,15.0,15.0,,,CANADA,ONTARIO,,ORANGE,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,1/2 bushel cartons,MINIATURE,FLAT TYPE,,09/30/2016,15.0,15.0,,,CANADA,ONTARIO,,WHITE,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,1/2 bushel cartons,MINIATURE,FLAT TYPE,,09/30/2016,13.75,15.0,,,ILLINOIS,,,WHITE,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,1/2 bushel cartons,MINIATURE,FLAT TYPE,,09/30/2016,10.75,15.0,,,ILLINOIS,,,ORANGE,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,1/2 bushel cartons,MINIATURE,FLAT TYPE,,09/30/2016,12.0,12.0,,,MICHIGAN,,,WHITE,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,1/2 bushel cartons,MINIATURE,FLAT TYPE,,09/30/2016,12.0,12.0,,,MICHIGAN,,,ORANGE,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,22 lb cartons,MINIATURE,FLAT TYPE,,09/26/2016,16.75,16.75,,,ILLINOIS,,,WHITE,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,22 lb cartons,MINIATURE,FLAT TYPE,,09/26/2016,16.75,16.75,,,ILLINOIS,,,ORANGE,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,22 lb cartons,MINIATURE,FLAT TYPE,,09/27/2016,16.75,16.75,,,ILLINOIS,,,WHITE,,,,,,,,N,,,STEADY.,,
PUMPKINS,ST. LOUIS,,22 lb cartons,MINIATURE,FLAT TYPE,,09/27/2016,16.75,16.75,,,ILLINOIS,,,ORANGE,,,,,,,,N,,,STEADY.,,
PUMPKINS,ST. LOUIS,,22 lb cartons,MINIATURE,FLAT TYPE,,09/28/2016,14.75,14.75,,,ILLINOIS,,,WHITE,,,,,,,,N,,,ABOUT STEADY.,,
PUMPKINS,ST. LOUIS,,22 lb cartons,MINIATURE,FLAT TYPE,,09/28/2016,14.75,14.75,,,ILLINOIS,,,ORANGE,,,,,,,,N,,,ABOUT STEADY.,,
PUMPKINS,ST. LOUIS,,22 lb cartons,MINIATURE,FLAT TYPE,,09/29/2016,10.75,10.75,,,ILLINOIS,,,ORANGE,,,,,,,,N,,,"MINIATURE LOWER, OTHERS STEADY.",,
PUMPKINS,ST. LOUIS,,22 lb cartons,MINIATURE,FLAT TYPE,,09/29/2016,14.75,14.75,,,ILLINOIS,,,WHITE,,,,,,,,N,,,"MINIATURE LOWER, OTHERS STEADY.",,
PUMPKINS,ST. LOUIS,,22 lb cartons,MINIATURE,FLAT TYPE,,09/30/2016,10.75,10.75,,,ILLINOIS,,,ORANGE,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,22 lb cartons,MINIATURE,FLAT TYPE,,09/30/2016,14.75,14.75,,,ILLINOIS,,,WHITE,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,36 inch bins,MINIATURE,ROUND TYPE,,09/26/2016,275.0,275.0,,,MICHIGAN,,sml,,,,,,,,,N,,,LOWER.,,
PUMPKINS,ST. LOUIS,,36 inch bins,MINIATURE,ROUND TYPE,,09/27/2016,275.0,275.0,,,MICHIGAN,,sml,,,,,,,,,N,,,STEADY.,,
PUMPKINS,ST. LOUIS,,36 inch bins,MINIATURE,ROUND TYPE,,09/28/2016,275.0,275.0,,,MICHIGAN,,sml,,,,,,,,,N,,,ABOUT STEADY.,,
PUMPKINS,ST. LOUIS,,36 inch bins,MINIATURE,ROUND TYPE,,09/29/2016,275.0,275.0,,,MICHIGAN,,sml,,,,,,,,,N,,,"MINIATURE LOWER, OTHERS STEADY.",,
