New York State Agency Occupation Title,Agency,Division,Street Address,City,State,ZIP,Telephone,URL,Occupation Code,Occupation Title,Location 1
Racetrack Exercise Rider,NYS Gaming Commission,,"One Broadway Center, Suite 600",Schenectady,NY,12305,5183955400,http://labor.ny.gov/stats/olcny/racetrack-exercise-rider.shtm, 39-2021,"Gaming Service Workers, All Other","One Broadway Center
Schenectady, NY 12305"
Armored Car Guard,NYS Department of State,Division of Licensing Services,99 Washington Avenue,Albany,NY,12201,5184744429,http://labor.ny.gov/stats/olcny/armored-car-guard.shtm, 33-9032,Security Guards,"99 Washington Avenue
Albany, NY 12201
(42.654645, -73.759668)"
Mold Worker,NYS Department of Labor,Division of Safety and Health,"State Office Campus, Building 12, Room 161",Albany,NY,12240,5184857815,http://labor.ny.gov/stats/olcny/mold-worker.shtm, 47-4041,Hazardous Materials Removal Workers ,
Acupunturist,NYS Education Department,Office of the Professions,89 Washington Avenue - 2nd Flr.,Albany,NY,12234,5184743817,http://labor.ny.gov/stats/olcny/acupuncturist.shtm, 29-1199,Acupunturists,"89 Washington Avenue
Albany, NY 12234
(42.653672, -73.757977)"
AEM Certified Planner,NYS Department of Agriculture and Markets,Division of Soil and Water,10B Airline Drive,Albany,NY,12235,5184573738,http://labor.ny.gov/stats/olcny/aem-certified-planners.shtm, 45-2011,Occupational Health and Safety Specialists,"10B Airline Drive
Albany, NY 12235
(42.735803, -73.81954)"
Aquatic Antifouling Paint Applicator,NYS Department of Environmental Conservation,Division of Solid & Hazardous Materials,"625 Broadway, 11th Floor",Albany,NY,12233,5184028748,http://labor.ny.gov/stats/olcny/aquatic-antifouling.shtm, 51-9122,"Painters, Transportation Equipment","625 Broadway
Albany, NY 12233
(42.652548, -73.749302)"
Architect,NYS Education Department,Division of Licensing Services,89 Washington Avenue - 2nd Flr.,Albany,NY,12234,5184743817,http://labor.ny.gov/stats/olcny/architect.shtm, 17-1011,"Architects, Except Landscape and Naval","89 Washington Avenue
Albany, NY 12234
(42.653672, -73.757977)"
Asbestos Handler,NYS Department of Health,Division of Occupational Health and Environmental Epidemiology,2 University Place,Albany,NY,12203,5184586483,http://labor.ny.gov/stats/olcny/asbestos-handler.shtm, 47-4041,Hazardous Materials Removal Workers,"2 University Place
Albany, NY 12203
(42.677372, -73.821616)"
Athlete Agent,NYS Department of State,Division of Licensing Services,99 Washington Avenue,Albany,NY,12201,5184744429,http://labor.ny.gov/stats/olcny/athlete-agent.shtm, 13-1011,"Agents and Business Managers of Artists, Performers, and Athletes","99 Washington Avenue
Albany, NY 12201
(42.654645, -73.759668)"
Audiologist,NYS Education Department,Office of the Professions,89 Washington Avenue - 2nd Flr.,Albany,NY,12234,5184743817,http://labor.ny.gov/stats/olcny/audiologists.shtm, 29-1181,Audiologists,"89 Washington Avenue
Albany, NY 12234
(42.653672, -73.757977)"
Barber,NYS Department of State,Division of Licensing Services,99 Washington Avenue,Albany,NY,12201,5184744429,http://labor.ny.gov/stats/olcny/barbers.shtm, 39-5011,Barbers,"99 Washington Avenue
Albany, NY 12201
(42.654645, -73.759668)"
Blaster,NYS Department of Labor,Division of Safety and Health,"State Office Campus, Building 12, Room 161",Albany,NY,12240,5184857815,http://labor.ny.gov/stats/olcny/blasters.shtm, 47-5031,"Explosives Workers, Ordnance Handling Experts, and Blasters",
Boiler Inspector,NYS Department of Labor,Division of Safety and Health,"State Office Campus, Building 12, Room 165",Albany,NY,12240,5184572722,http://labor.ny.gov/stats/olcny/boiler-inspector.shtm, 47-4011,Construction and Building Inspectors,
Bus Driver,NYS Department of Motor Vehicles,Bus Driver Unit,"6 Empire State Plaza, Room 220C",Albany,NY,12228,5184739455,http://labor.ny.gov/stats/olcny/bus-driver.shtm, 53-3021,"Bus Drivers, Transit and Intercity","6 Empire State Plaza
Albany, NY 12228"
Certified Athletic Trainer,NYS Education Department,Office of the Professions,89 Washington Avenue - 2nd Flr.,Albany,NY,12234,5184743817,http://labor.ny.gov/stats/olcny/certified-athletic-trainer.shtm, 29-9091,Athletic Trainers,"89 Washington Avenue
Albany, NY 12234
(42.653672, -73.757977)"
Certified Behavior Analyst Assistant,NYS Education Department,Office of the Professions,89 Washington Avenue,Albany,NY,12234,5184743817,http://labor.ny.gov/stats/olcny/certified-behavior-analyst-assistants.shtm, 21-1093,Social and Human Service Assistants,"89 Washington Avenue
Albany, NY 12234
(42.653672, -73.757977)"
Certified Clinical Laboratory Technician,NYS Education Department,Office of the Professions,89 Washington Avenue - 2nd Flr.,Albany,NY,12234,5184743817,http://labor.ny.gov/stats/olcny/clinical-laboratory-technology.shtm, 29-2011,Medical and Clinical Laboratory Technologists,"89 Washington Avenue
Albany, NY 12234
(42.653672, -73.757977)"
Certified Dental Assistant,NYS Education Department,Office of the Professions,89 Washington Avenue - 2nd Flr.,Albany,NY,12234,5184743817,http://labor.ny.gov/stats/olcny/certified-dental-assistant.shtm, 31-9091,Certified Dental Assistant,"89 Washington Avenue
Albany, NY 12234
(42.653672, -73.757977)"
Certified Examiner - Bus Driver,NYS Department of Motor Vehicles,Bus Driver Unit,"6 Empire State Plaza, Room 524",Albany,NY,12228,5184745485,http://labor.ny.gov/stats/olcny/certified-examiner-bus-driver.shtm, 13-1041,Licensing Examiners and Inspectors,"6 Empire State Plaza
Albany, NY 12228"
Certified First Responder/Emergency/Advance Emergency Medical Technician,NYS Department of Health,Bureau of Emergency Medical Services,"433 River Street, Suite 303",Troy,NY,12180,5184020996,http://labor.ny.gov/stats/olcny/certified-first-responder.shtm, 29-2041,Emergency Medical Technicians and Paramedics,"433 River Street
Troy, NY 12180
(42.736574, -73.687047)"
Certified Histological Technician,NYS Education Department,Office of the Professions,89 Washington Avenue - 2nd Flr.,Albany,NY,12234,5184743817,http://labor.ny.gov/stats/olcny/clinical-laboratory-technology.shtm, 29-2011,Certified Histological Technician,"89 Washington Avenue
Albany, NY 12234
(42.653672, -73.757977)"
Certified Milk Inspector,NYS Department of Agriculture and Markets,Division of Milk Control and Dairy Services,10B Airline Drive,Albany,NY,12235,5184571772,http://labor.ny.gov/stats/olcny/milk.shtm, 45-2011,Agricultural Inspectors,"10B Airline Drive
Albany, NY 12235
(42.735803, -73.81954)"
Certified Motor Vehicle Inspector,NYS Department of Motor Vehicles,Bureau of Consumer and Facility Services,P.O Box 2700,Albany,NY,12220,5184747998,http://labor.ny.gov/stats/olcny/certified-motor-vehicle-inspector.shtm, 53-6051,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation","2700 Albany
NY 12220"
Certified Nurse Aide,NYS Department of Health,Bureau of Professional Credentialing,875 Central Avenue,Albany,NY,12206,5184081297,http://labor.ny.gov/stats/olcny/certified-nurse-aide.shtm, 31-1014,Nursing Assistants,"875 Central Avenue
Albany, NY 12206
(42.680214, -73.790185)"
Certified Public Accountant,NYS Education Department,Office of the Professions,89 Washington Avenue - 2nd Flr.,Albany,NY,12234,5184743817,http://labor.ny.gov/stats/olcny/certified-public-accountant.shtm, 13-2011,Accountants,"89 Washington Avenue
Albany, NY 12234
(42.653672, -73.757977)"
Certified Shorthand Reporter,NYS Education Department,Office of the Professions,89 Washington Avenue - 2nd Flr.,Albany,NY,12234,5184743817,http://labor.ny.gov/stats/olcny/certified-shorthand-reporter.shtm, 23-2091,Court Reporters,"89 Washington Avenue
Albany, NY 12234
(42.653672, -73.757977)"
Certified Ultrasonic Testing Technician,NYS Department of Transportation,Structural Engineering Services Bureau,50 Wolf Road,Albany,NY,12232,5184572436,http://labor.ny.gov/stats/olcny/certified-ultrasonic-technician.shtm, 51-4122,Certified Ultrasonic Testing Technician,"50 Wolf Road
Albany, NY 12232
(42.712737, -73.815878)"
Chiropractor,NYS Education Department,Office of the Professions,89 Washington Avenue - 2nd Flr.,Albany,NY,12234,5184743817,http://labor.ny.gov/stats/olcny/chiropractor.shtm, 29-1011,Chiropractors,"89 Washington Avenue
Albany, NY 12234
(42.653672, -73.757977)"
Clinical Laboratory Technologist,NYS Education Department,Office of the Professions,89 Washington Avenue - 2nd Flr.,Albany,NY,12234,5184743817,http://labor.ny.gov/stats/olcny/clinical-laboratory-technology.shtm, 29-2011,Clinical Laboratory Technologist,"89 Washington Avenue
Albany, NY 12234
(42.653672, -73.757977)"
Clinical Nurse Specialist,NYS Education Department,Office of the Professions,89 Washington Avenue - 2nd Flr.,Albany,NY,12234,5184743817,http://labor.ny.gov/stats/olcny/clinical-nurse-specialist.shtm, 29-1141,Clinical Nurse Specialist,"89 Washington Avenue
Albany, NY 12234
(42.653672, -73.757977)"
Mutuel Clerk,NYS Gaming Commission,,"One Broadway Center, Suite 600",Schenectady,NY,12305,5183955400,http://labor.ny.gov/stats/olcny/mutuel-clerk.shtm, 39-3019,"Gaming Service Workers, All Other","One Broadway Center
Schenectady, NY 12305"
Commercial Pesticide Applicator/Technician,NYS Department of Environmental Conservation,Division of Solid & Hazardous Materials,625 Broadway,Albany,NY,12233,5184028748,http://labor.ny.gov/stats/olcny/commercial-pesticide-applicator-technician.shtm, 37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation","625 Broadway
Albany, NY 12233
(42.652548, -73.749302)"
"Cosmetologist, Natural Hairstylist, Esthetician, Nail Specialist, Waxing",NYS Department of State,Division of Licensing Services,99 Washington Avenue,Albany,NY,12201,5184744429,http://labor.ny.gov/stats/olcny/cosmetologist.shtm, 39-5012,"Hairdressers, Hairstylists, and Cosmetologists","99 Washington Avenue
Albany, NY 12201
(42.654645, -73.759668)"
Crane Operator,NYS Department of Labor,Division of Safety and Health,"State Office Campus, Building 12, Room 161",Albany,NY,12240,5184857815,http://labor.ny.gov/stats/olcny/crane-operator.shtm, 53-7021,Crane and Tower Operators,
Credentialed Alcoholism and Substance Abuse Counselor,Office of Alcoholism and Substance Abuse Services,Credentialing Unit,1450 Western Avenue,Albany,NY,12203,5184733460,http://labor.ny.gov/stats/olcny/credentialed-alcohol-substance-abuse-counselor.shtm, 21-1011,Substance Abuse and Behavioral Disorder Counselors,"1450 Western Avenue
Albany, NY 12203
(42.680963, -73.837258)"
Credentialed Alcoholism and Substance Abuse Prevention Professional/Special,Office of Alcoholism and Substance Abuse Services,Credentialing Unit,1450 Western Avenue,Albany,NY,12203,5184733460,http://labor.ny.gov/stats/olcny/credentialed-prevention-professional-specialist.shtm, 21-1023,Mental Health and Substance Abuse Social Workers,"1450 Western Avenue
Albany, NY 12203
(42.680963, -73.837258)"
Credentialed Problem Gambling Counselor,Office of Alcoholism and Substance Abuse Services,Credentialing Unit,1450 Western Avenue,Albany,NY,12203,5184733460,http://labor.ny.gov/stats/olcny/credentialed-problem-gambling-counselor.shtm, 21-1011,Substance Abuse and Behavioral Disorder Counselors,"1450 Western Avenue
Albany, NY 12203
(42.680963, -73.837258)"
Cytotechnologist,NYS Education Department,Office of the Professions,89 Washington Avenue - 2nd Flr.,Albany,NY,12234,5184743817,http://labor.ny.gov/stats/olcny/clinical-laboratory-technology.shtm, 29-2011,Medical and Clinical Laboratory Technologists,"89 Washington Avenue
Albany, NY 12234
(42.653672, -73.757977)"
Dental Hygienist,NYS Education Department,Office of the Professions,89 Washington Avenue - 2nd Flr.,Albany,NY,12234,5184743817,http://labor.ny.gov/stats/olcny/dental-hygienist.shtm, 29-2021,Dental Hygienists,"89 Washington Avenue
Albany, NY 12234
(42.653672, -73.757977)"
Dentist,NYS Education Department,Office of the Professions,89 Washington Avenue - 2nd Flr.,Albany,NY,12234,5184743817,http://labor.ny.gov/stats/olcny/dentists.shtm, 29-1021,"Dentists, General","89 Washington Avenue
Albany, NY 12234
(42.653672, -73.757977)"
Dietitian-Nutritionist,NYS Education Department,Office of the Professions,89 Washington Avenue - 2nd Flr.,Albany,NY,12234,5184743817,http://labor.ny.gov/stats/olcny/dietitian-nutritionist.shtm, 29-1031,Dietitians and Nutritionists,"89 Washington Avenue
Albany, NY 12234
(42.653672, -73.757977)"
Driving School Instructor,NYS Department of Motor Vehicles,Bureau of Driver Training Programs ,"6 Empire State Plaza, Room 412",Albany,NY,12228,5184737746,http://labor.ny.gov/stats/olcny/driving-school-instructor.shtm, 25-2031,"Secondary School Teachers, Except Special and Vocational Education","6 Empire State Plaza
Albany, NY 12228"
Emergency Medical Technician - Basic (EMT-B),NYS Department of Health,Bureau of Emergency Medical Services,"433 River Street, Suite 303",Troy,NY,12180,5184020996,http://labor.ny.gov/stats/olcny/certified-first-responder.shtm, 29-2041,Emergency Medical Technicians and Paramedics,"433 River Street
Troy, NY 12180
(42.736574, -73.687047)"
Emergency Medical Technician - Critical Care (AEMT-CC),NYS Department of Health,Bureau of Emergency Medical Services,"433 River Street, Suite 303",Troy,NY,12180,5184020996,http://labor.ny.gov/stats/olcny/certified-first-responder.shtm, 29-2041,Emergency Medical Technicians and Paramedics,"433 River Street
Troy, NY 12180
(42.736574, -73.687047)"
Emergency Medical Technician - Intermediate (AEMT-I),NYS Department of Health,Bureau of Emergency Medical Services,"433 River Street, Suite 303",Troy,NY,12180,5184020996,http://labor.ny.gov/stats/olcny/certified-first-responder.shtm, 29-2041,Emergency Medical Technicians and Paramedics,"433 River Street
Troy, NY 12180
(42.736574, -73.687047)"
Emergency Medical Technician - Paramedic (AEMT-P),NYS Department of Health,Bureau of Emergency Medical Services,"433 River Street, Suite 303",Troy,NY,12180,5184020996,http://labor.ny.gov/stats/olcny/certified-first-responder.shtm, 29-2041,Emergency Medical Technicians and Paramedics,"433 River Street
Troy, NY 12180
(42.736574, -73.687047)"
Farrier,NYS Gaming Commission,,"One Broadway Center, Suite 600",Schenectady,NY,12305,5183955400,http://labor.ny.gov/stats/olcny/farriers.shtm, 39-2021,"Agents and Business Managers of Artists, Performers, and Athletes","One Broadway Center
Schenectady, NY 12305"
Funeral Director,NYS Department of Health,Bureau of Funeral Directing,"433 River Street, Suite 303",Troy,NY,12180,5184020785,http://labor.ny.gov/stats/olcny/funeral-director.shtm, 11-9061,Funeral Service Managers,"433 River Street
Troy, NY 12180
(42.736574, -73.687047)"
Groom,NYS Gaming Commission,,"One Broadway Center, Suite 600",Schenectady,NY,12305,5183955400,http://labor.ny.gov/stats/olcny/grooms.shtm, 39-2021,"Agents and Business Managers of Artists, Performers, and Athletes","One Broadway Center
Schenectady, NY 12305"
Hazardous materials Transporter,NYS Department of Motor Vehicles,Safety Services,"6 Empire State Plaza, Room 524",Albany,NY,12228,5184082829,http://labor.ny.gov/stats/olcny/hazardous-materials-transporter.shtm, 47-4041,Hazardous Materials Removal Workers,"6 Empire State Plaza
Albany, NY 12228"
Hearing Aid Dispenser,NYS Department of State,Division of Licensing Services,99 Washington Avenue,Albany,NY,12201,5184744429,http://labor.ny.gov/stats/olcny/hearing-aid-dispenser.shtm, 29-2092,Hearing Aid Specialists,"99 Washington Avenue
Albany, NY 12201
(42.654645, -73.759668)"
Home Inspector,NYS Department of State,Division of Licensing Services,99 Washington Avenue,Albany,NY,12201,5184744429,http://labor.ny.gov/stats/olcny/home-inspector.shtm, 47-4011,Construction and Building Inspectors,"99 Washington Avenue
Albany, NY 12201
(42.654645, -73.759668)"
"Horse Driver, Matinee Driver, Qualifier Driver, Provisional Driver",NYS Gaming Commission,,"One Broadway Center, Suite 600",Schenectady,NY,12305,5183955400,http://labor.ny.gov/stats/olcny/horse-driver.shtm, 27-2021,Athletes and Sports Competitors,"One Broadway Center
Schenectady, NY 12305"
"Horse Trainer, Assistant Trainer, Private Trainer",NYS Gaming Commission,,"One Broadway Center, Suite 600",Schenectady,NY,12305,5183955400,http://labor.ny.gov/stats/olcny/horse-trainer.shtm, 13-1011,"Agents and Business Managers of Artists, Performers, and Athletes","One Broadway Center
Schenectady, NY 12305"
"Insurance Adjuster, Independent",NYS Department of Financial Services,Licensing Services Bureau,"One Commerce Plaza, 20th Floor",Albany,NY,12257,5184746630,http://labor.ny.gov/stats/olcny/independent-insurance-adjuster.shtm, 13-1031,"Insurance Adjusters, Examiners, and Investigators","One Commerce Plaza
Albany, NY 12257"
"Insurance Adjuster, Public",NYS Department of Financial Services,Licensing Services Bureau,"One Commerce Plaza, 20th Floor",Albany,NY,12257,5184746630,http://labor.ny.gov/stats/olcny/public-insurance-adjuster.shtm, 13-1031,"Insurance Adjusters, Examiners, and Investigators","One Commerce Plaza
Albany, NY 12257"
"Insurance Agent, Accident, Health, Life, Variable Life & Variable Annuities",NYS Department of Financial Services,Licensing Services Bureau,"One Commerce Plaza, 20th Floor",Albany,NY,12257,5184746630,http://labor.ny.gov/stats/olcny/insurance-agent.shtm, 41-3021,Insurance Sales Agents,"One Commerce Plaza
Albany, NY 12257"
"Insurance Agent, Limited Motor Vehicle Rentals",NYS Department of Financial Services,Licensing Services Bureau,"One Commerce Plaza, 20th Floor",Albany,NY,12257,5184746630,http://labor.ny.gov/stats/olcny/insurance-agent-limited-motor-vehicles-rental.shtm, 41-3021,Insurance Sales Agents,"One Commerce Plaza
Albany, NY 12257"
"Insurance Agent, Mortgage Guaranty",NYS Department of Financial Services,Licensing Services Bureau,"One Commerce Plaza, 20th Floor",Albany,NY,12257,5184746630,http://labor.ny.gov/stats/olcny/mortgage-guaranty-insurance-agent.shtm, 41-3021,Insurance Sales Agents,"One Commerce Plaza
Albany, NY 12257"
"Insurance Agent, Property & Casualty",NYS Department of Financial Services,Licensing Services Bureau,"One Commerce Plaza, 20th Floor",Albany,NY,12257,5184746630,http://labor.ny.gov/stats/olcny/property-casualty-insurance-agent.shtm, 41-3021,Insurance Sales Agents,"One Commerce Plaza
Albany, NY 12257"
"Insurance Agent, Service Contract Registrant",NYS Department of Financial Services,Licensing Services Bureau,"One Commerce Plaza, 20th Floor",Albany,NY,12257,5184746630,http://labor.ny.gov/stats/olcny/insurance-agent-service-contract-registrant.shtm, 41-3021,Insurance Sales Agents,"One Commerce Plaza
Albany, NY 12257"
"Insurance Broker, Accident, Health, Life, Variable Life & Variable Annuity",NYS Department of Financial Services,Licensing Services Bureau,"One Commerce Plaza, 20th Floor",Albany,NY,12257,5184746630,http://labor.ny.gov/stats/olcny/insurance-broker.shtm, 41-3021,Insurance Sales Agents,"One Commerce Plaza
Albany, NY 12257"
"Insurance Broker, Life Settlement",NYS Department of Financial Services,Licensing Services Bureau,"One Commerce Plaza, 20th Floor",Albany,NY,12257,5184746630,http://labor.ny.gov/stats/olcny/life-settlement-broker.shtm, 41-3021,Insurance Sales Agents,"One Commerce Plaza
Albany, NY 12257"
"Insurance Broker, Property & Casualty",NYS Department of Financial Services,Licensing Services Bureau,"One Commerce Plaza, 20th Floor",Albany,NY,12257,5184746630,http://labor.ny.gov/stats/olcny/insurance-broker-property-casualty.shtm, 41-3021,Insurance Sales Agents,"One Commerce Plaza
Albany, NY 12257"
"Insurance Consultant, General",NYS Department of Financial Services,Licensing Services Bureau,"One Commerce Plaza, 20th Floor",Albany,NY,12257,5184746630,http://labor.ny.gov/stats/olcny/insurance-consultant-general.shtm, 41-3021,Insurance Sales Agents,"One Commerce Plaza
Albany, NY 12257"
"Insurance Consultant, Life",NYS Department of Financial Services,Licensing Services Bureau,"One Commerce Plaza, 20th Floor",Albany,NY,12257,5184746630,http://labor.ny.gov/stats/olcny/insurance-consultant-life.shtm, 41-3021,Insurance Sales Agents,"One Commerce Plaza
Albany, NY 12257"
Interior Designer,NYS Education Department,Office of the Professions,89 Washington Avenue - 2nd Flr.,Albany,NY,12234,5184743817,http://labor.ny.gov/stats/olcny/interior-designer.shtm, 27-1025,Interior Designers,"89 Washington Avenue
Albany, NY 12234
(42.653672, -73.757977)"
"Jockey (Apprentice, Amateur, Jockey)",NYS Gaming Commission,,"One Broadway Center, Suite 600",Schenectady,NY,12305,5183955400,http://labor.ny.gov/stats/olcny/jockey-agents.shtm, 13-1011,"Agents and Business Managers of Artists, Performers, and Athletes","One Broadway Center
Schenectady, NY 12305"
Jockey Agent,NYS Gaming Commission,,"One Broadway Center, Suite 600",Schenectady,NY,12305,5183955400,http://labor.ny.gov/stats/olcny/jockeys.shtm, 13-1011,"Agents and Business Managers of Artists, Performers, and Athletes","One Broadway Center
Schenectady, NY 12305"
Land Surveyor,NYS Education Department,Office of the Professions,89 Washington Avenue - 2nd Flr.,Albany,NY,12234,5184743817,http://labor.ny.gov/stats/olcny/landscape-architect.shtm, 17-1012,Landscape Architects,"89 Washington Avenue
Albany, NY 12234
(42.653672, -73.757977)"
Landscape Architect,NYS Education Department,Office of the Professions,89 Washington Avenue - 2nd Flr.,Albany,NY,12234,5184743817,http://labor.ny.gov/stats/olcny/land-surveyor.shtm, 17-1022,Surveyors,"89 Washington Avenue
Albany, NY 12234
(42.653672, -73.757977)"
Lawyer,Unified Court System,State Supreme Court - Appellate Division,25 Beaver Street,New York,NY,10004,2124282800,http://labor.ny.gov/stats/olcny/lawyers.shtm, 23-1011,Lawyers,"25 Beaver Street
New York, NY 10004
(40.704973, -74.012015)"
Licensed Behavior Analyst,NYS Education Department,Office of the Professions,89 Washington Avenue - 2nd Flr.,Albany,NY,12234,5184743817,http://labor.ny.gov/stats/olcny/certified-behavior-analyst-assistants.shtm, 25-2059,Adapted Physical Education Specialists,"89 Washington Avenue
Albany, NY 12234
(42.653672, -73.757977)"
Licensed Clinical Social Worker,NYS Education Department,Office of the Professions,89 Washington Avenue - 2nd Flr.,Albany,NY,12234,5184743817,http://labor.ny.gov/stats/olcny/licensed-clinical-social-worker.shtm, 21-1021,"Child, Family, and School Social Workers","89 Washington Avenue
Albany, NY 12234
(42.653672, -73.757977)"
