New York State Agency Occupation Title,Agency,Division,Street Address,City,State,ZIP,Telephone,URL,Occupation Code,Occupation Title,Location 1
Licensed Creative Arts Therapist,NYS Education Department,Office of the Professions,89 Washington Avenue - 2nd Flr.,Albany,NY,12234,5184743817,http://labor.ny.gov/stats/olcny/licensed-creative-arts-therapist.shtm, 29-1129,"Therapists, All Other","89 Washington Avenue
Albany, NY 12234
(42.653672, -73.757977)"
Nurse Practitioner,NYS Education Department,Office of the Professions,89 Washington Avenue - 2nd Flr.,Albany,NY,12234,5184743817,http://labor.ny.gov/stats/olcny/nurse-practitioner.shtm, 29-1171,Nurse Practitioners,"89 Washington Avenue
Albany, NY 12234
(42.653672, -73.757977)"
Licensed Marriage and Family Therapist,NYS Education Department,Office of the Professions,89 Washington Avenue - 2nd Flr.,Albany,NY,12234,5184743817,http://labor.ny.gov/stats/olcny/licensed-marriage-family-therapist.shtm, 21-1013,Marriage and Family Therapists,"89 Washington Avenue
Albany, NY 12234
(42.653672, -73.757977)"
Licensed Master Social Worker,NYS Education Department,Office of the Professions,89 Washington Avenue - 2nd Flr.,Albany,NY,12234,5184743817,http://labor.ny.gov/stats/olcny/licensed-master-social-worker.shtm, 21-1021,"Child, Family, and School Social Workers","89 Washington Avenue
Albany, NY 12234
(42.653672, -73.757977)"
Licensed Mental Health Counselor,NYS Education Department,Office of the Professions,89 Washington Avenue - 2nd Flr.,Albany,NY,12234,5184743817,http://labor.ny.gov/stats/olcny/licensed-mental-health-counselor.shtm, 21-1014,Mental Health Counselors,"89 Washington Avenue
Albany, NY 12234
(42.653672, -73.757977)"
Licensed Motor Vehicle Body Damage Estimator,NYS Department of Motor Vehicles,Bureau of Consumer and Facility Services,P.O Box 2700,Albany,NY,12220,5184747998,http://labor.ny.gov/stats/olcny/certified-motor-vehicle-inspector.shtm, 13-1032,"Insurance Appraisers, Auto Damage","2700 Albany
NY 12220"
Licensed Outdoor Guide,NYS Department of Environmental Conservation,Office of Public Protection-Forest Rangers,625 Broadway,Albany,NY,12233,5184028838,http://labor.ny.gov/stats/olcny/licensed-outdoor-guide.shtm, 39-7011,Tour Guides and Escorts,"625 Broadway
Albany, NY 12233
(42.652548, -73.749302)"
Licensed Practical Nurse,NYS Education Department,Office of the Professions,89 Washington Avenue - 2nd Flr.,Albany,NY,12234,5184743817,http://labor.ny.gov/stats/olcny/licensed-practical-nurse.shtm, 29-2061,Licensed Practical and Licensed Vocational Nurses,"89 Washington Avenue
Albany, NY 12234
(42.653672, -73.757977)"
Licensed Psychoanalyst,NYS Education Department,Office of the Professions,89 Washington Avenue - 2nd Flr.,Albany,NY,12234,5184743817,http://labor.ny.gov/stats/olcny/licensed-psychoanalyst.shtm, 19-3031,Clinical Psychologists,"89 Washington Avenue
Albany, NY 12234
(42.653672, -73.757977)"
Licensed Radiological Technologist,NYS Department of Health,Bureau of Environmental Radiation Protection,"547 River Street, Room 530",Troy,NY,12180,5184027580,http://labor.ny.gov/stats/olcny/licensed-radiologic-technologist.shtm, 29-2034,Radiologic Technologists,"547 River Street
Troy, NY 12180
(42.74038, -73.685694)"
Licensed Radiological Technologist:Nuclear Medicine Technologist,NYS Department of Health,Bureau of Environmental Radiation Protection,"547 River Street, Room 530",Troy,NY,12180,5184027580,http://labor.ny.gov/stats/olcny/licensed-radiologic-technologist.shtm, 29-2034,Radiologic Technologists,"547 River Street
Troy, NY 12180
(42.74038, -73.685694)"
Licensed Radiological Technologist:Radiation Therapist,NYS Department of Health,Bureau of Environmental Radiation Protection,"547 River Street, Room 530",Troy,NY,12180,5184027580,http://labor.ny.gov/stats/olcny/licensed-radiologic-technologist.shtm, 29-2034,Radiologic Technologists,"547 River Street
Troy, NY 12180
(42.74038, -73.685694)"
Licensed Radiological Technologist:Radiographer,NYS Department of Health,Bureau of Environmental Radiation Protection,"547 River Street, Room 530",Troy,NY,12180,5184027580,http://labor.ny.gov/stats/olcny/licensed-radiologic-technologist.shtm, 29-2034,Radiologic Technologists,"547 River Street
Troy, NY 12180
(42.74038, -73.685694)"
Long Term Care Ombudsman,Office for the Aging,Executive; Long Term Care Ombudsman Program,Two Empire State Plaza,Albany,NY,12223,8003429871,http://labor.ny.gov/stats/olcny/long-term-care-ombudsman.shtm, 21-1093,Social and Human Service Assistants,"Two Empire State Plaza
Albany, NY 12223"
Massage Therapist,NYS Education Department,Office of the Professions,89 Washington Avenue - 2nd Flr.,Albany,NY,12234,5184743817,http://labor.ny.gov/stats/olcny/massage-therapist.shtm, 31-9011,Massage Therapists,"89 Washington Avenue
Albany, NY 12234
(42.653672, -73.757977)"
Medical Physicist in Diagnostic Radiological Physics,NYS Education Department,Office of the Professions,89 Washington Avenue - 2nd Flr.,Albany,NY,12234,5184743817,http://labor.ny.gov/stats/olcny/medical-physicist-diagnostic-radiological-physics.shtm, 19-1042,"Medical Scientists, Except Epidemiologists","89 Washington Avenue
Albany, NY 12234
(42.653672, -73.757977)"
Medical Physicist in Medical Health Physics,NYS Education Department,Office of the Professions,89 Washington Avenue - 2nd Flr.,Albany,NY,12234,5184743817,http://labor.ny.gov/stats/olcny/medical-physicist-medical-health-physics.shtm, 19-1042,"Medical Scientists, Except Epidemiologists","89 Washington Avenue
Albany, NY 12234
(42.653672, -73.757977)"
Medical Physicist in Medical Nuclear Physics,NYS Education Department,Office of the Professions,89 Washington Avenue - 2nd Flr.,Albany,NY,12234,5184743817,http://labor.ny.gov/stats/olcny/medical-physicist-medical-nuclear-physics.shtm, 19-1042,"Medical Scientists, Except Epidemiologists","89 Washington Avenue
Albany, NY 12234
(42.653672, -73.757977)"
Medical Physicist in Therapeutic Radiological Physics or Radiation Oncology,NYS Education Department,Office of the Professions,89 Washington Avenue - 2nd Flr.,Albany,NY,12234,5184743817,http://labor.ny.gov/stats/olcny/medical-physicist.shtm, 19-1042,"Medical Scientists, Except Epidemiologists","89 Washington Avenue
Albany, NY 12234
(42.653672, -73.757977)"
Midwife,NYS Education Department,Office of the Professions,89 Washington Avenue - 2nd Flr.,Albany,NY,12234,5184743817,http://labor.ny.gov/stats/olcny/midwives.shtm, 29-9099,Midwives,"89 Washington Avenue
Albany, NY 12234
(42.653672, -73.757977)"
Milk Gathering Plant Manager,NYS Department of Agriculture and Markets,Division of Milk Control and Dairy Services,10B Airline Drive,Albany,NY,12235,5184571772,http://labor.ny.gov/stats/olcny/milk.shtm, 45-2011,Agricultural Inspectors,"10B Airline Drive
Albany, NY 12235
(42.735803, -73.81954)"
Milk Laboratory Technician,NYS Department of Agriculture and Markets,Division of Milk Control and Dairy Services,10B Airline Drive,Albany,NY,12235,5184571772,http://labor.ny.gov/stats/olcny/milk.shtm, 19-4011,Food Science Technicians,"10B Airline Drive
Albany, NY 12235
(42.735803, -73.81954)"
Milk Receiver,NYS Department of Agriculture and Markets,Division of Milk Control and Dairy Services,10B Airline Drive,Albany,NY,12235,5184571772,http://labor.ny.gov/stats/olcny/milk.shtm, 45-2041,"Graders and Sorters, Agricultural Products","10B Airline Drive
Albany, NY 12235
(42.735803, -73.81954)"
Milk Tester,NYS Department of Agriculture and Markets,Division of Milk Control and Dairy Services,10B Airline Drive,Albany,NY,12235,5184571772,http://labor.ny.gov/stats/olcny/milk.shtm, 19-4011,Food Science Technicians,"10B Airline Drive
Albany, NY 12235
(42.735803, -73.81954)"
Nursing Home Administrator,NYS Department of Health,Bureau of Professional Credentialing,875 Central Avenue,Albany,NY,12206,5184081297,http://labor.ny.gov/stats/olcny/nursing-home-administrator.shtm, 11-9111,Medical and Health Services Managers,"875 Central Avenue
Albany, NY 12206
(42.680214, -73.790185)"
Occupational Therapist,NYS Education Department,Office of the Professions,89 Washington Avenue - 2nd Flr.,Albany,NY,12234,5184743817,http://labor.ny.gov/stats/olcny/occupational-therapist.shtm, 29-1122,Occupational Therapists,"89 Washington Avenue
Albany, NY 12234
(42.653672, -73.757977)"
Occupational Therapist Assistant,NYS Education Department,Office of the Professions,89 Washington Avenue - 2nd Flr.,Albany,NY,12234,5184743817,http://labor.ny.gov/stats/olcny/occupational-therapy-assistant.shtm, 31-2011,Occupational Therapist Assistants,"89 Washington Avenue
Albany, NY 12234
(42.653672, -73.757977)"
Ophthalmic Dispenser,NYS Education Department,Office of the Professions,89 Washington Avenue - 2nd Flr.,Albany,NY,12234,5184743817,http://labor.ny.gov/stats/olcny/ophthalmic-dispenser.shtm, 29-2081,"Opticians, Dispensing","89 Washington Avenue
Albany, NY 12234
(42.653672, -73.757977)"
Optometrist,NYS Education Department,Office of the Professions,89 Washington Avenue - 2nd Flr.,Albany,NY,12234,5184743817,http://labor.ny.gov/stats/olcny/optometrist.shtm, 29-1041,Optometrists,"89 Washington Avenue
Albany, NY 12234
(42.653672, -73.757977)"
Pathologist's Assistant,NYS Education Department,Office of the Professions,89 Washington Avenue - 2nd Flr.,Albany,NY,12234,5184743817,http://labor.ny.gov/stats/olcny/pathologists-assistant.shtm, 29-1069,Pathologist Assistant,"89 Washington Avenue
Albany, NY 12234
(42.653672, -73.757977)"
Perfusionist,NYS Education Department,Office of the Professions,89 Washington Avenue - 2nd Flr.,Albany,NY,12234,5184743817,http://labor.ny.gov/stats/olcny/perfusionist.shtm, 29-2012,Medical and Clinical Laboratory Technicians,"89 Washington Avenue
Albany, NY 12234
(42.653672, -73.757977)"
Pharmacist,NYS Education Department,Office of the Professions,89 Washington Avenue - 2nd Flr.,Albany,NY,12234,5184743817,http://labor.ny.gov/stats/olcny/pharmacist.shtm, 29-1051,Pharmacists,"89 Washington Avenue
Albany, NY 12234
(42.653672, -73.757977)"
Physical Therapist,NYS Education Department,Office of the Professions,89 Washington Avenue - 2nd Flr.,Albany,NY,12234,5184743817,http://labor.ny.gov/stats/olcny/physical-therapist.shtm, 29-1123,Physical Therapists,"89 Washington Avenue
Albany, NY 12234
(42.653672, -73.757977)"
Physical Therapist Assistant,NYS Education Department,Office of the Professions,89 Washington Avenue - 2nd Flr.,Albany,NY,12234,5184743817,http://labor.ny.gov/stats/olcny/physical-therapist-assistant.shtm, 31-2021,Physical Therapist Assistants,"89 Washington Avenue
Albany, NY 12234
(42.653672, -73.757977)"
Physician,NYS Education Department,Office of the Professions,89 Washington Avenue - 2nd Flr.,Albany,NY,12234,5184743817,http://labor.ny.gov/stats/olcny/physicians.shtm, 29-1062,Family and General Practitioners,"89 Washington Avenue
Albany, NY 12234
(42.653672, -73.757977)"
Physician Assistant,NYS Education Department,Office of the Professions,89 Washington Avenue - 2nd Flr.,Albany,NY,12234,5184743817,http://labor.ny.gov/stats/olcny/physician-assistant.shtm, 29-1071,Physician Assistants,"89 Washington Avenue
Albany, NY 12234
(42.653672, -73.757977)"
Podiatrist,NYS Education Department,Office of the Professions,89 Washington Avenue - 2nd Flr.,Albany,NY,12234,5184743817,http://labor.ny.gov/stats/olcny/podiatrists.shtm, 29-1081,Podiatrists,"89 Washington Avenue
Albany, NY 12234
(42.653672, -73.757977)"
Police Instructors,Division of Criminal Justice Services,Alfred E. Smith State Office Building,80 South Swan,Albany,NY,12234,5184575837,http://labor.ny.gov/stats/olcny/police-instructor.shtm, 25-1194,"Vocational Education Teachers, Postsecondary","80 South Swan
Albany, NY 12234
(42.653748, -73.759382)"
Polysomnographic Technologist,NYS Education Department,Office of the Professions,89 Washington Avenue - 2nd Flr.,Albany,NY,12234,5184743817,http://labor.ny.gov/stats/olcny/polysomnographic-technologist.shtm, 29-2099,Neurodiagnostic Technologists,"89 Washington Avenue
Albany, NY 12234
(42.653672, -73.757977)"
Private Investigator,NYS Department of State,Division of Licensing Services,99 Washington Avenue,Albany,NY,12201,5184744429,http://labor.ny.gov/stats/olcny/private-investigator.shtm, 33-9021,Private Detectives and Investigators,"99 Washington Avenue
Albany, NY 12201
(42.654645, -73.759668)"
Professional Engineer,NYS Education Department,Office of the Professions,89 Washington Avenue - 2nd Flr.,Albany,NY,12234,5184743817,http://labor.ny.gov/stats/olcny/professional-engineer.shtm, 17-2199,"Engineers, All Other","89 Washington Avenue
Albany, NY 12234
(42.653672, -73.757977)"
Professional Geologist,NYS Education Department,Office of the Professions,89 Washington Avenue - 2nd Flr.,Albany,NY,12234,5184743817,http://labor.ny.gov/stats/olcny/professional-geologist.shtm, 17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers","89 Washington Avenue
Albany, NY 12234
(42.653672, -73.757977)"
Psychologist,NYS Education Department,Office of the Professions,89 Washington Avenue - 2nd Flr.,Albany,NY,12234,5184743817,http://labor.ny.gov/stats/olcny/psychologist.shtm, 19-3039,"Psychologists, All Other","89 Washington Avenue
Albany, NY 12234
(42.653672, -73.757977)"
Public Librarian,NYS Education Department,"NYS Library, Division of Library Development","Cultural Education Center, Room 10B41",Albany,NY,12230,5184747890,http://labor.ny.gov/stats/olcny/public-librarian.shtm, 25-4021,Librarians,
Public School Administrator,NYS Education Department,Office of Teaching Initiatives,89 Washington Avenue,Albany,NY,12234,5184743901,http://labor.ny.gov/stats/olcny/public-school-administrator.shtm, 11-9039,"Education Administrators, All Other","89 Washington Avenue
Albany, NY 12234
(42.653672, -73.757977)"
Public School Teacher,NYS Education Department,Office of Teaching Initiatives,89 Washington Avenue,Albany,NY,12234,5184743901,http://labor.ny.gov/stats/olcny/public-school-teacher.shtm, 25-3099,"Teachers and Instructors, All Other","89 Washington Avenue
Albany, NY 12234
(42.653672, -73.757977)"
Pyrotechnician,NYS Education Department,Office of Teaching Initiatives,89 Washington Avenue,Albany,NY,12234,5184743901,http://labor.ny.gov/stats/olcny/pyrotechnician.shtm, 27-2099,"Entertainers and Performers, Sports and Related Workers, All Other","89 Washington Avenue
Albany, NY 12234
(42.653672, -73.757977)"
Race Official,NYS Gaming Commission,,"One Broadway Center, Suite 600",Schenectady,NY,12305,5183955400,http://labor.ny.gov/stats/olcny/race-official.shtm, 39-3019,"Gaming Service Workers, All Other","One Broadway Center
Schenectady, NY 12305"
Real Estate Appraiser,NYS Department of State,Division of Licensing Services,99 Washington Avenue,Albany,NY,12201,5184744429,http://labor.ny.gov/stats/olcny/real-estate-appraiser.shtm, 13-2021,"Appraisers, Real Estate","99 Washington Avenue
Albany, NY 12201
(42.654645, -73.759668)"
Real Estate Broker,NYS Department of State,Division of Licensing Services,99 Washington Avenue,Albany,NY,12201,5184744429,http://labor.ny.gov/stats/olcny/real-estate-broker.shtm, 41-9021,Real Estate Brokers,"99 Washington Avenue
Albany, NY 12201
(42.654645, -73.759668)"
Real Estate Salesperson,NYS Department of State,Division of Licensing Services,99 Washington Avenue,Albany,NY,12201,5184744429,http://labor.ny.gov/stats/olcny/real-estate-salesperson.shtm, 41-9022,Real Estate Sales Agents,"99 Washington Avenue
Albany, NY 12201
(42.654645, -73.759668)"
Registered Professional Nurse,NYS Education Department,Office of the Professions,89 Washington Avenue - 2nd Flr.,Albany,NY,12234,5184743817,http://labor.ny.gov/stats/olcny/registered-professional-nurse.shtm, 29-1141,Registered Nurses,"89 Washington Avenue
Albany, NY 12234
(42.653672, -73.757977)"
Reinsurance Intermediary,NYS Department of Financial Services,Licensing Services Bureau,"One Commerce Plaza, 20th Floor",Albany,NY,12257,5184025546,http://labor.ny.gov/stats/olcny/reinsurance-intermediary.shtm, 41-3021,Insurance Sales Agents,"One Commerce Plaza
Albany, NY 12257"
Respiratory Therapist,NYS Education Department,Office of the Professions,89 Washington Avenue - 2nd Flr.,Albany,NY,12234,5184743817,http://labor.ny.gov/stats/olcny/respiratory-therapist.shtm, 29-1126,Respiratory Therapists,"89 Washington Avenue
Albany, NY 12234
(42.653672, -73.757977)"
Respiratory Therapy Technician,NYS Education Department,Office of the Professions,89 Washington Avenue - 2nd Flr.,Albany,NY,12234,5184743817,http://labor.ny.gov/stats/olcny/respiratory-therapy-technician.shtm, 29-2054,Respiratory Therapy Technicians,"89 Washington Avenue
Albany, NY 12234
(42.653672, -73.757977)"
Security Guard,NYS Department of State,Division of Licensing Services,99 Washington Avenue,Albany,NY,12201,5184744429,http://labor.ny.gov/stats/olcny/security-guard.shtm, 33-9032,Security Guards,"99 Washington Avenue
Albany, NY 12201
(42.654645, -73.759668)"
Security Guard Firearms Instructor,Division of Criminal Justice Services,Office of Public Safety,"4 Tower Place, 4th floor",Albany,NY,12203,5184573580,http://labor.ny.gov/stats/olcny/security-guard-firearms-instructor.shtm, 13-1151,Training and Development Specialists,"4 Tower Place
Albany, NY 12203
(42.685518, -73.842537)"
Security Guard Instructors,Division of Criminal Justice Services,Office of Public Safety,"4 Tower Place, 4th floor",Albany,NY,12203,5184573580,http://labor.ny.gov/stats/olcny/security-guard-instructor.shtm, 33-9032,Security Guards,"4 Tower Place
Albany, NY 12203
(42.685518, -73.842537)"
Security/Fire Alarm Installer,NYS Department of State,Division of Licensing Services,99 Washington Avenue,Albany,NY,12201,5184744429,http://labor.ny.gov/stats/olcny/security-fire-alarm-installer.shtm, 49-2098,Security and Fire Alarm Systems Installers,"99 Washington Avenue
Albany, NY 12201
(42.654645, -73.759668)"
Security/Peace Officer,NYS Gaming Commission,,"One Broadway Center, Suite 600",Schenectady,NY,12305,5183955400,http://labor.ny.gov/stats/olcny/security-peace-officer.shtm, 33-9032,Security Guards,"One Broadway Center
Schenectady, NY 12305"
Specialist Assistant in Acupuncture,NYS Education Department,Office of the Professions,89 Washington Avenue - 2nd Flr.,Albany,NY,12234,5184743817,http://labor.ny.gov/stats/olcny/specialist-assistant.shtm, 29-1071,Physician Assistants,"89 Washington Avenue
Albany, NY 12234
(42.653672, -73.757977)"
"Specialist Assistant in Orthopedics (Acupuncture, Orthopedics, Radiology)",NYS Education Department,Office of the Professions,89 Washington Avenue - 2nd Flr.,Albany,NY,12234,5184743817,http://labor.ny.gov/stats/olcny/specialist-assistant.shtm, 29-1071,Physician Assistants,"89 Washington Avenue
Albany, NY 12234
(42.653672, -73.757977)"
Specialist Assistant in Radiology,NYS Education Department,Office of the Professions,89 Washington Avenue - 2nd Flr.,Albany,NY,12234,5184743817,http://labor.ny.gov/stats/olcny/specialist-assistant.shtm, 29-2034,Radiologic Technologists,"89 Washington Avenue
Albany, NY 12234
(42.653672, -73.757977)"
Specialist Assistant in Urology,NYS Education Department,Office of the Professions,89 Washington Avenue - 2nd Flr.,Albany,NY,12234,5184743817,http://labor.ny.gov/stats/olcny/specialist-assistant.shtm, 29-1071,Physician Assistants,"89 Washington Avenue
Albany, NY 12234
(42.653672, -73.757977)"
"Speech - Language Pathologist, Audiologist",NYS Education Department,Office of the Professions,89 Washington Avenue - 2nd Flr.,Albany,NY,12234,5184743817,http://labor.ny.gov/stats/olcny/speech-language-pathologist.shtm, 29-1127,Speech-Language Pathologists,"89 Washington Avenue
Albany, NY 12234
(42.653672, -73.757977)"
"Truck Driver, Heavy or Tractor Trailer",NYS Department of Motor Vehicles,Motor Carrier Safety/CDL Policy,"6 Empire State Plaza, Room 220C",Albany,NY,12228,5184739455,http://labor.ny.gov/stats/olcny/truck-driver.shtm, 53-3032,"Truck Drivers, Heavy and Tractor-Trailer","6 Empire State Plaza
Albany, NY 12228"
Vehicle Escort Driver,NYS Department of Motor Vehicles,Motor Carrier Bureau,"6 Empire State Plaza, Room 220C",Albany,NY,12228,5184739455,http://labor.ny.gov/stats/olcny/vehicle-escort-driver.shtm, 53-3041,Taxi Drivers and Chauffeurs,"6 Empire State Plaza
Albany, NY 12228"
Veterinarian,NYS Education Department,Office of the Professions,89 Washington Avenue - 2nd Flr.,Albany,NY,12234,5184743817,http://labor.ny.gov/stats/olcny/veterinarian.shtm, 29-1131,Veterinarians,"89 Washington Avenue
Albany, NY 12234
(42.653672, -73.757977)"
Veterinary Technician,NYS Education Department,Office of the Professions,89 Washington Avenue - 2nd Flr.,Albany,NY,12234,5184743817,http://labor.ny.gov/stats/olcny/veterinary-technician.shtm, 29-2056,Veterinary Technologists and Technicians,"89 Washington Avenue
Albany, NY 12234
(42.653672, -73.757977)"
Wastewater Treatment Plant Operator,NYS Department of Environmental Conservation,Division of Water,"625 Broadway, 4th Floor",Albany,NY,12233,5184028177,http://labor.ny.gov/stats/olcny/wastewater-treatment-plant-operator.shtm, 51-8031,Water and Wastewater Treatment Plant and System Operators,"625 Broadway
Albany, NY 12233
(42.652548, -73.749302)"
Water Operator,NYS Department of Health,Bureau of Public Water Supply Protection,"547 River Street, Flanigan Square",Troy,NY,12180,5184027712,http://labor.ny.gov/stats/olcny/water-treatment-plant-operator.shtm, 51-8031,Water and Wastewater Treatment Plant and System Operators,"547 River Street
Troy, NY 12180
(42.74038, -73.685694)"
Water Well Contractor,NYS Department of Environmental Conservation,Division of Water,"625 Broadway, 4th Floor",Albany,NY,12233,5184028291,http://labor.ny.gov/stats/olcny/water-well-contractor.shtm, 47-5021,"Earth Drillers, Except Oil and Gas","625 Broadway
Albany, NY 12233
(42.652548, -73.749302)"
Weighmaster,NYS Department of Agriculture and Markets,Division of Weights and Measures,10B Airline Drive,Albany,NY,12235,5184573146,http://labor.ny.gov/stats/olcny/weighmasters.shtm, 43-5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping","10B Airline Drive
Albany, NY 12235
(42.735803, -73.81954)"
Welder,NYS Department of Transportation,Structural Engineering Services Bureau,50 Wolf Road,Albany,NY,12232,5184577160,http://labor.ny.gov/stats/olcny/welders.shtm, 51-4121,"Welders, Cutters, and Welder Fitters","50 Wolf Road
Albany, NY 12232
(42.712737, -73.815878)"
Workplace Mobile Laser Operator,NYS Department of Labor,Division of Safety and Health,"State Office Campus, Building 12, Room 161",Albany,NY,12240,5184857815,http://labor.ny.gov/stats/olcny/workplace-mobile-laser-operator.shtm, 51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",
Workplace Safety and Loss Prevention Consultant,NYS Department of Labor,Division of Safety and Health,"State Office Campus, Building 12, Room 161",Albany,NY,12240,5184857815,http://labor.ny.gov/stats/olcny/workplace-safety-loss-prevention-consultant.shtm, 11-9199,Loss Prevention Managers,
