OBJECTID,HouseGEOID,HouseName,ELANumAssessed_Calc,ELATotalMet_Calc,ELATotalNotMet_Calc,MATHNumAssessed_Calc,MATHTotalMet_Calc,MATHTotalNotMet_Calc,ELAPctMet_Calc,MATHPctMet_Calc,Shape__Area,Shape__Length
1,26001,State House District 1,956,259,697,952,259,693,0.27092050209205,0.272058823529412,0.0090696609638598,0.59644041579296
2,26002,State House District 2,836,286,550,831,257,574,0.342105263157895,0.309265944645006,0.0089705474294987,0.617563103884619
3,26003,State House District 3,525,47,478,519,58,461,0.0895238095238095,0.111753371868979,0.0048717841718826,0.420464603427294
4,26004,State House District 4,1134,202,932,1179,307,872,0.178130511463845,0.26039016115352,0.005716809867863,0.364219638892238
5,26005,State House District 5,1056,123,933,1068,146,922,0.116477272727273,0.136704119850187,0.0044348817423269,0.479467185807398
6,26006,State House District 6,1104,253,851,1102,239,863,0.229166666666667,0.216878402903811,0.0081475987715293,0.777235385694063
7,26007,State House District 7,903,184,719,897,191,706,0.203765227021041,0.212931995540691,0.0040754496144472,0.402877944722818
8,26008,State House District 8,646,108,538,643,99,544,0.1671826625387,0.153965785381026,0.004492773739912,0.392633711084452
9,26009,State House District 9,780,136,644,781,128,653,0.174358974358974,0.163892445582586,0.0046391952553221,0.427554414465039
10,26010,State House District 10,1151,290,861,1152,271,881,0.251954821894005,0.235243055555556,0.0049287285426089,0.536989832042189
11,26011,State House District 11,856,331,525,869,354,515,0.386682242990654,0.407364787111623,0.0058653771206991,0.575011887909568
12,26012,State House District 12,1105,342,763,1102,363,739,0.309502262443439,0.32940108892922,0.0185779844953231,0.683056229340758
13,26013,State House District 13,1163,432,731,1174,450,724,0.371453138435082,0.383304940374787,0.0056967553409776,0.743900611141412
14,26014,State House District 14,1043,392,651,1059,407,652,0.375838926174497,0.384324834749764,0.0056710500537064,0.507061093829574
15,26015,State House District 15,1527,543,984,1573,728,845,0.355599214145383,0.462809917355372,0.0067256567178901,0.485847521445995
16,26016,State House District 16,720,184,536,719,191,528,0.255555555555556,0.265646731571627,0.006875186033767,0.468759280963607
17,26017,State House District 17,855,393,462,856,417,439,0.459649122807018,0.48714953271028,0.0688829697176061,1.68763912368645
18,26018,State House District 18,839,312,527,843,329,514,0.371871275327771,0.390272835112693,0.0056947932325783,0.41349327888561
19,26019,State House District 19,1176,568,608,1179,640,539,0.482993197278912,0.542832909245123,0.0098724022316218,0.438042271254002
20,26020,State House District 20,912,572,340,916,600,316,0.62719298245614,0.655021834061135,0.012451633854198,0.626447486806257
21,26021,State House District 21,1076,633,443,1079,701,378,0.588289962825279,0.64967562557924,0.0167022483394703,0.710733395591586
22,26022,State House District 22,1005,263,742,1006,255,751,0.261691542288557,0.253479125248509,0.0054768351058101,0.452595403154118
23,26023,State House District 23,1036,524,512,1038,577,461,0.505791505791506,0.555876685934489,0.0291853347564484,1.00818853624123
24,26024,State House District 24,660,272,388,660,323,337,0.412121212121212,0.489393939393939,0.0116565944367721,0.802270085058142
25,26025,State House District 25,1011,478,533,1012,553,459,0.472799208704253,0.546442687747036,0.0059485742826836,0.459700398201263
26,26026,State House District 26,750,341,409,769,363,406,0.454666666666667,0.472041612483745,0.005356005496651,0.367599936446356
27,26027,State House District 27,906,288,618,906,297,609,0.317880794701987,0.327814569536424,0.0048377829082255,0.354565819895901
28,26028,State House District 28,927,239,688,929,242,687,0.25782092772384,0.260495156081808,0.0065780695686044,0.481776285179916
29,26029,State House District 29,774,166,608,783,217,566,0.214470284237726,0.277139208173691,0.0120559249498911,0.743708592479472
30,26030,State House District 30,686,311,375,686,348,338,0.4533527696793,0.507288629737609,0.0084669543180098,0.61639216539755
31,26031,State House District 31,938,348,590,936,394,542,0.371002132196162,0.420940170940171,0.006913164311527,0.498488643049666
32,26032,State House District 32,936,488,448,937,497,440,0.521367521367521,0.530416221985059,0.0806880503585035,1.87951279665559
33,26033,State House District 33,1011,578,433,1010,647,363,0.571711177052423,0.640594059405941,0.0525526798135161,1.1082644939463
34,26034,State House District 34,469,43,426,469,47,422,0.0916844349680171,0.100213219616205,0.0072989517811947,0.730460933948539
35,26035,State House District 35,959,342,617,962,348,614,0.356621480709072,0.361746361746362,0.0101638151725183,0.407535915636507
36,26036,State House District 36,947,549,398,957,609,348,0.579725448785639,0.636363636363636,0.0286187699450693,0.874303713137468
37,26037,State House District 37,664,359,305,670,369,301,0.54066265060241,0.550746268656716,0.0101973449125126,0.408282796256223
38,26038,State House District 38,1356,803,553,1380,934,446,0.592182890855457,0.676811594202899,0.0199307117616172,0.788844583919863
39,26039,State House District 39,790,441,349,799,499,300,0.558227848101266,0.624530663329161,0.0163851106519814,0.843626833433439
40,26040,State House District 40,830,520,310,841,586,255,0.626506024096386,0.69678953626635,0.0138311852329025,0.623045225389852
41,26041,State House District 41,1190,761,429,1212,817,395,0.639495798319328,0.674092409240924,0.0101753056135294,0.442635324896791
42,26042,State House District 42,854,530,324,856,526,330,0.620608899297424,0.614485981308411,0.0519785285646321,1.06679513212592
43,26043,State House District 43,985,482,503,987,503,484,0.489340101522843,0.509625126646403,0.0190113092428419,0.703911401840964
44,26044,State House District 44,973,492,481,973,516,457,0.505652620760534,0.530318602261048,0.0431792710053287,1.23811164378493
45,26045,State House District 45,917,634,283,920,709,211,0.691384950926936,0.770652173913044,0.0118146775441801,0.48587647705625
46,26046,State House District 46,1286,759,527,1288,789,499,0.590202177293935,0.612577639751553,0.0500997293167984,1.12740082919261
47,26047,State House District 47,913,542,371,911,557,354,0.593647316538883,0.611416026344676,0.114342470171096,1.6516136442063
48,26048,State House District 48,1033,501,532,1033,487,546,0.484995159728945,0.471442400774443,0.0701717012070731,1.58074468569291
49,26049,State House District 49,1008,293,715,1010,308,702,0.290674603174603,0.304950495049505,0.0207872556923121,1.20358247884578
50,26050,State House District 50,1123,470,653,1127,469,658,0.418521816562778,0.416149068322981,0.0274920786405346,0.867937662156405
51,26051,State House District 51,1144,587,557,1145,649,496,0.513111888111888,0.566812227074236,0.0909954214694153,2.24584137856194
52,26052,State House District 52,895,517,378,895,609,286,0.577653631284916,0.680446927374302,0.14268159047765,2.02629523455999
53,26053,State House District 53,790,463,327,800,523,277,0.586075949367089,0.65375,0.0056809107579738,0.46831360119753
54,26054,State House District 54,608,169,439,603,191,412,0.277960526315789,0.316749585406302,0.0202906985596201,0.581079330954601
55,26055,State House District 55,883,456,427,903,516,387,0.516421291053228,0.571428571428571,0.0354704376336485,1.39610079056377
56,26056,State House District 56,1000,518,482,1001,520,481,0.518,0.519480519480519,0.103694658150289,1.64577632263636
57,26057,State House District 57,983,460,523,984,463,521,0.46795523906409,0.470528455284553,0.203963974217004,2.08884669818512
58,26058,State House District 58,773,302,471,778,307,471,0.390685640362225,0.394601542416452,0.316621196132019,2.60515182613453
59,26059,State House District 59,1015,351,664,1011,380,631,0.345812807881773,0.375865479723047,0.257722442875775,2.54608175963841
60,26060,State House District 60,950,346,604,956,357,599,0.364210526315789,0.373430962343096,0.0101269821918777,0.731907750174465
61,26061,State House District 61,840,522,318,843,566,277,0.621428571428571,0.67141162514828,0.050823857579644,1.1949833319392
62,26062,State House District 62,924,254,670,923,284,639,0.274891774891775,0.307692307692308,0.0815902739973353,1.90181303282813
63,26063,State House District 63,1206,575,631,1208,593,615,0.476782752902156,0.490894039735099,0.203408662200445,2.6670250824712
64,26064,State House District 64,875,394,481,881,373,508,0.450285714285714,0.423382519863791,0.0816949933000615,1.63202596536884
65,26065,State House District 65,872,378,494,871,389,482,0.43348623853211,0.446613088404133,0.162922595642613,3.59839464080808
66,26066,State House District 66,1198,564,634,1201,596,605,0.470784641068447,0.496253122398002,0.329053340060455,3.82036321738898
67,26067,State House District 67,1132,556,576,1138,639,499,0.491166077738516,0.561511423550088,0.119808382347173,1.8059906497688
68,26068,State House District 68,877,233,644,893,267,626,0.265678449258837,0.298992161254199,0.0088665528180627,0.726663345640184
69,26069,State House District 69,826,539,287,839,578,261,0.652542372881356,0.688915375446961,0.0306161097273616,1.09110737743512
70,26070,State House District 70,971,364,607,972,394,578,0.374871266735324,0.405349794238683,0.248831186396501,3.13491903399566
71,26071,State House District 71,973,492,481,971,470,501,0.505652620760534,0.484037075180227,0.134381249490616,2.1456073221764
72,26072,State House District 72,1356,740,616,1363,737,626,0.545722713864307,0.540719002201027,0.0469705577152126,1.23371495806541
73,26073,State House District 73,1360,822,538,1359,885,474,0.604411764705882,0.65121412803532,0.0681214713144982,1.71866050288408
74,26074,State House District 74,1252,655,597,1252,731,521,0.523162939297125,0.583865814696486,0.0626918165112329,1.58116856710947
75,26075,State House District 75,1010,233,777,1023,235,788,0.230693069306931,0.229716520039101,0.0049256089014306,0.534890318173453
76,26076,State House District 76,679,215,464,688,214,474,0.316642120765832,0.311046511627907,0.0080239492076543,1.2188319873614
77,26077,State House District 77,1141,506,635,1149,587,562,0.443470639789658,0.510879025239339,0.0174009766308245,0.68740163739634
78,26078,State House District 78,932,426,506,942,493,449,0.457081545064378,0.523354564755839,0.139547461339134,2.64411185968827
79,26079,State House District 79,909,347,562,912,419,493,0.381738173817382,0.459429824561404,0.0556302152149328,1.47857455908426
80,26080,State House District 80,791,458,333,791,487,304,0.579013906447535,0.615676359039191,0.208527776016126,2.10558250353442
81,26081,State House District 81,796,416,380,795,425,370,0.522613065326633,0.534591194968553,0.141813145800825,3.26794422090774
82,26082,State House District 82,643,334,309,645,324,321,0.519440124416796,0.502325581395349,0.189791907432436,1.80765401383661
83,26083,State House District 83,905,393,512,911,365,546,0.434254143646409,0.400658616904501,0.470418803518442,3.59634552952757
84,26084,State House District 84,724,316,408,723,333,390,0.43646408839779,0.460580912863071,0.883347717421657,4.66566430804578
85,26085,State House District 85,835,361,474,834,350,484,0.432335329341317,0.419664268585132,0.245815395315503,2.291638468895
86,26086,State House District 86,1062,641,421,1065,666,399,0.603578154425612,0.625352112676056,0.11242580592284,2.17914533733364
87,26087,State House District 87,936,499,437,936,516,420,0.533119658119658,0.551282051282051,0.289284460549879,3.34203485449357
88,26088,State House District 88,954,586,368,956,618,338,0.614255765199161,0.646443514644351,0.0617418371518852,1.25209670905525
89,26089,State House District 89,1029,690,339,1033,675,358,0.670553935860058,0.653436592449177,0.0707590779168186,1.38605210830345
90,26090,State House District 90,1168,692,476,1171,696,475,0.592465753424658,0.594363791631085,0.0323873673630715,1.01903429191948
91,26091,State House District 91,1066,519,547,1065,521,544,0.486866791744841,0.489201877934272,0.117922822510536,2.58494375768548
92,26092,State House District 92,897,266,631,898,271,627,0.29654403567447,0.301781737193764,0.0336168408198319,1.10346220345015
93,26093,State House District 93,498,264,234,497,291,206,0.530120481927711,0.585513078470825,0.286612703217543,2.62294088320529
94,26094,State House District 94,949,470,479,952,510,442,0.495258166491043,0.535714285714286,0.0953934993353869,2.30159672887607
95,26095,State House District 95,831,204,627,830,226,604,0.245487364620939,0.272289156626506,0.0479012764651543,1.21059079761967
96,26096,State House District 96,827,327,500,827,352,475,0.39540507859734,0.425634824667473,0.0694868881623734,1.22858533065054
97,26097,State House District 97,587,255,332,589,278,311,0.434412265758092,0.471986417657046,0.609336736603609,5.74547330632719
98,26098,State House District 98,893,470,423,899,470,429,0.526315789473684,0.522803114571746,0.130815513837661,2.05806443712326
99,26099,State House District 99,557,244,313,555,259,296,0.438061041292639,0.466666666666667,0.263954679445078,3.24006346842435
100,26100,State House District 100,629,191,438,631,219,412,0.303656597774245,0.347068145800317,0.792805640373899,4.86873846424938
101,26101,State House District 101,845,323,522,846,335,511,0.382248520710059,0.395981087470449,1.7383177373647,6.33211268503562
102,26102,State House District 102,926,383,543,930,441,489,0.413606911447084,0.474193548387097,0.405446899585968,4.26888088208455
103,26103,State House District 103,671,290,381,668,338,330,0.432190760059613,0.505988023952096,0.838622781127924,4.29090838201227
104,26104,State House District 104,979,517,462,978,532,446,0.528089887640449,0.543967280163599,0.176874453687105,2.09533785675959
105,26105,State House District 105,859,398,461,861,394,467,0.463329452852154,0.457607433217189,1.0824761502713,6.57304629697263
106,26106,State House District 106,639,272,367,644,293,351,0.42566510172144,0.454968944099379,2.5242156700383,8.32117655545163
107,26107,State House District 107,808,364,444,807,382,425,0.450495049504951,0.473358116480793,1.77181318349744,9.32990062151762
108,26108,State House District 108,734,348,386,733,361,372,0.474114441416894,0.492496589358799,1.22960710753114,6.56271934525646
109,26109,State House District 109,655,264,391,659,293,366,0.403053435114504,0.444613050075873,3.18847658390928,11.2211939369573
110,26110,State House District 110,705,379,326,707,407,300,0.53758865248227,0.575671852899576,4.67513091124965,12.1616408309818
